fips,county_name,observed_exposure,total_employment,top_3_categories,state_fips,county_fips,county_name_short,state_name
51013,"Arlington County, Virginia",0.1504654645771026,145078,Computer and mathematical occupations (0.044); Business and financial operations occupations (0.028); Management occupations (0.018),51,013,Arlington County,Virginia
51107,"Loudoun County, Virginia",0.1475747187093149,236475,Computer and mathematical occupations (0.056); Management occupations (0.018); Business and financial operations occupations (0.018),51,107,Loudoun County,Virginia
51610,"Falls Church city, Virginia",0.14668648829330833,7963,Computer and mathematical occupations (0.041); Management occupations (0.020); Business and financial operations occupations (0.020),51,610,Falls Church city,Virginia
13117,"Forsyth County, Georgia",0.14496029244796035,138163,Computer and mathematical occupations (0.049); Sales and related occupations (0.029); Management occupations (0.017),13,117,Forsyth County,Georgia
51059,"Fairfax County, Virginia",0.14091918743526882,610160,Computer and mathematical occupations (0.047); Business and financial operations occupations (0.020); Sales and related occupations (0.016),51,059,Fairfax County,Virginia
11001,"District of Columbia, District of Columbia",0.14065120640786466,374990,Computer and mathematical occupations (0.029); Business and financial operations occupations (0.023); Legal occupations (0.019),11,001,District of Columbia,District of Columbia
48085,"Collin County, Texas",0.13714254292681397,615475,Computer and mathematical occupations (0.040); Sales and related occupations (0.025); Office and administrative support occupations (0.018),48,085,Collin County,Texas
06075,"San Francisco County, California",0.1370640679493842,476356,Computer and mathematical occupations (0.040); Business and financial operations occupations (0.019); Sales and related occupations (0.018),06,075,San Francisco County,California
06085,"Santa Clara County, California",0.13562910353991744,999346,Computer and mathematical occupations (0.056); Sales and related occupations (0.016); Office and administrative support occupations (0.014),06,085,Santa Clara County,California
24027,"Howard County, Maryland",0.13489834154848815,175641,Computer and mathematical occupations (0.045); Business and financial operations occupations (0.016); Sales and related occupations (0.015),24,027,Howard County,Maryland
08033,"Dolores County, Colorado",0.13470509135175407,1336,Computer and mathematical occupations (0.047); Sales and related occupations (0.022); Business and financial operations occupations (0.020),08,033,Dolores County,Colorado
53033,"King County, Washington",0.13420958977872222,1256602,Computer and mathematical occupations (0.049); Sales and related occupations (0.018); Office and administrative support occupations (0.015),53,033,King County,Washington
08035,"Douglas County, Colorado",0.1341095397513532,207788,Computer and mathematical occupations (0.031); Sales and related occupations (0.029); Management occupations (0.018),08,035,Douglas County,Colorado
51600,"Fairfax city, Virginia",0.1335907304690412,13260,Computer and mathematical occupations (0.040); Sales and related occupations (0.018); Office and administrative support occupations (0.016),51,600,Fairfax city,Virginia
36061,"New York County, New York",0.13274994282917713,877340,Business and financial operations occupations (0.022); Computer and mathematical occupations (0.021); Sales and related occupations (0.020),36,061,New York County,New York
51510,"Alexandria city, Virginia",0.131815246651154,96116,Computer and mathematical occupations (0.031); Business and financial operations occupations (0.020); Management occupations (0.017),51,510,Alexandria city,Virginia
08014,"Broomfield County, Colorado",0.13162275382651406,42728,Computer and mathematical occupations (0.040); Sales and related occupations (0.019); Office and administrative support occupations (0.017),08,014,Broomfield County,Colorado
13121,"Fulton County, Georgia",0.13099763926434863,577086,Computer and mathematical occupations (0.027); Sales and related occupations (0.024); Office and administrative support occupations (0.019),13,121,Fulton County,Georgia
47187,"Williamson County, Tennessee",0.13034256764322696,131150,Sales and related occupations (0.031); Computer and mathematical occupations (0.022); Business and financial operations occupations (0.018),47,187,Williamson County,Tennessee
48491,"Williamson County, Texas",0.129805063022709,358316,Computer and mathematical occupations (0.036); Sales and related occupations (0.024); Office and administrative support occupations (0.020),48,491,Williamson County,Texas
37183,"Wake County, North Carolina",0.1285864128910705,628413,Computer and mathematical occupations (0.033); Sales and related occupations (0.022); Office and administrative support occupations (0.017),37,183,Wake County,North Carolina
48453,"Travis County, Texas",0.1280311932692939,763090,Computer and mathematical occupations (0.031); Sales and related occupations (0.022); Business and financial operations occupations (0.017),48,453,Travis County,Texas
24031,"Montgomery County, Maryland",0.1261446503761626,561656,Computer and mathematical occupations (0.031); Sales and related occupations (0.016); Business and financial operations occupations (0.016),24,031,Montgomery County,Maryland
51075,"Goochland County, Virginia",0.12610581993225617,12650,Sales and related occupations (0.031); Computer and mathematical occupations (0.025); Business and financial operations occupations (0.016),51,075,Goochland County,Virginia
48121,"Denton County, Texas",0.1258981122529426,536382,Computer and mathematical occupations (0.028); Sales and related occupations (0.024); Office and administrative support occupations (0.021),48,121,Denton County,Texas
39041,"Delaware County, Ohio",0.12564663595840178,120222,Computer and mathematical occupations (0.027); Sales and related occupations (0.024); Business and financial operations occupations (0.018),39,041,Delaware County,Ohio
34035,"Somerset County, New Jersey",0.12535963778503662,190550,Computer and mathematical occupations (0.030); Sales and related occupations (0.019); Office and administrative support occupations (0.018),34,035,Somerset County,New Jersey
19049,"Dallas County, Iowa",0.12497228211730037,59614,Computer and mathematical occupations (0.026); Sales and related occupations (0.024); Business and financial operations occupations (0.021),19,049,Dallas County,Iowa
08013,"Boulder County, Colorado",0.12482132175749645,177475,Computer and mathematical occupations (0.031); Sales and related occupations (0.022); Office and administrative support occupations (0.014),08,013,Boulder County,Colorado
35028,"Los Alamos County, New Mexico",0.12452081812238656,10536,"Computer and mathematical occupations (0.031); Life, physical, and social science occupations (0.026); Office and administrative support occupations (0.014)",35,028,Los Alamos County,New Mexico
34019,"Hunterdon County, New Jersey",0.12394326369273949,67284,Sales and related occupations (0.023); Computer and mathematical occupations (0.021); Management occupations (0.018),34,019,Hunterdon County,New Jersey
06001,"Alameda County, California",0.12355527713227824,860129,Computer and mathematical occupations (0.036); Sales and related occupations (0.017); Office and administrative support occupations (0.017),06,001,Alameda County,California
