payTo,domains,n_resources,l30d_total_calls,l30d_implied_usd_volume
0x480cd46e6fade651a0437deadda53d5c8e7d846a,api.bitrefill.com,8,168,27000.25
0x325bdf6f7efab24a2210c48c1b64cab2eae1d430,enrichx402.com;stable-enrich-git-fix-stableenrich-exa-api-schema-merit-systems.vercel.app;stable-enrich-git-shafu-stableenrich-peopl-a13b22-merit-systems.vercel.app;stableenrich.dev,19,63003,1659.09
0x942bd3e3073543c674efc0c378d5bce20f9120c1,api.arkm.com,21,399,760.4
0x3291e96b3bff7ed56e3ca8364273c5b4654b2b37,laso.finance;x402endpoint-utiwoa54hq-uc.a.run.app,8,171,751.3
0x53598173ce7c26025bab0520d9e9d0c28fbcf7de,mudko.com;router.mudko.com,8,17,744.9
0x3873d15cf3209c32aaa8d9aa542164e658567129,api.govparse.io,64,87,510.02
0x158e90dd58fbe897ed8c244f472febee37283d00,agents.chain.link,2,52422,395.55
0x4aabe17c239ef71c3a26ba7c2b3e0aebbfc1df26,agi.apify.com;api.apify.com,6,352,352.0
0x50ab2018c06c6e4eaa9ba52057eb55ed284912fc,airdroppulse.theaslangroupllc.com;alphapulse.theaslangroupllc.com;api.vetpulse.theaslangroupllc.com;arbipulse.theaslangroupllc.com;autopulse.theaslangroupllc.com;biopulse.theaslangroupllc.com;buildpul,873,1492,304.42
0x2d16a243ba9facc6ac85519d5efad2149dc4c6c3,aeml-x402.zeabur.app;api.truthbear.co,120,1950,299.39
0x66d7c2f952362bfb24fd7f02a9bec9c754ea83bc,api.strale.io,141,4169,255.55
0x213c8d7434e2ae7aa1c392767c5120778d413215,cheaptokens.ai,1,249,249.0
0xb04994fbca786ae03ce3354fed2435c2e04020ec,api.m2mcent.com,965,1020,203.24
0xdd257723b86b4947483905cdacbbbc70facf2ec0,stable-travel-git-migrate-stabletravel-router-140-merit-systems.vercel.app;stabletravel.dev,30,6646,160.69
0x05fdaf598d420e7caf649928c1893764ddf8a7d6,molecular-packs-metadata-docs.trycloudflare.com,6,1110,133.81
0xdd350976b8cffc65938c0464d39a2c78be079bd0,scvd.store,22,47,105.71
0x93053f1e7a5efeda532fe69cbbe43cbec3a0f13f,api.nansen.ai,53,4157,88.48
0x9aaceabad8e1858b72fcea1665381b168841b2fa,google-trends.use.x402atlas.com,4,1981,86.47
0x26572ff23c6c52bfb1a69cb0c9114a8be443b422,api.runx.ai;api.sourcey.com;ausca.com;gofrantic.com,7,28,86.0
0x4df66b6c140778fe0717880a7c6dde5ea53acdea,api.kadec0.xyz,43,2591,83.43
0x36038e1d712c5e39f35952164ec58ec2b96caee7,kronossignals.com,37,3651,82.42
0x76a672eee56d29d475b0715cc03b8c99d70ec8a2,api.sirenic.eu,80,1254,77.83
0x4466d4a84b7c49a6a094ec6eef4a0712d6dd125e,api.cn402.com;api.x402node.dev,343,3703,77.33
0xabf4fabd7c416fb67202e5f9002389fc75e2a9d0,agent402.tools,533,5041,73.26
0x876be690234aad9c7ae8bb02c6900f5844acaf68,www.productclank.com,3,3,72.0
0x9fb365e4e9385e2a39febad70368267e6f571d9a,win.oneshotagent.com,11,14481,69.07
0x52e29e0d2aa49bfbfc548c0a9f2196f4aa51f3ea,api.onesource.io,25,16106,67.68
0xe740d5701749d262da5e4fcb9f814c5b6d91cf46,api.linkedpanda.com,9,293,65.12
0x9dba414637c611a16bea6f0796bfcbcbdc410df8,api.aidress.ai;twit-api-production-de12.up.railway.app;x402.twit.sh,16,9512,57.95
0xfee13309251b632317ea2d475d6aba7e7e0219e6,centry.cybercentry.co.uk,10,57,57.0
0xe9030014f5dae217d0a152f02a043567b16c1abf,blockrun-web-vbsbhh7lea-uc.a.run.app;blockrun.ai,46,6122,54.94
0x6d91adf2c545047cbbc5b37a5f457cce081b48d3,api.aitrailblazer.net,13,199,53.79
0x1cdffd2ff63d2ccff383050a87725ee79d210425,www.quicknode.com,1,1,49.0
0xaeeb8eabdc05532a26123045f99d208eb1cc00ab,api.stocktrends.com,6,196,42.95
0xbf22b6ddb5a08c823856a779f1004eea60c5ab92,dripstack.xyz,1,42,42.0
0x6d6e695b09861467c7d462f5aaf31cf3540b9192,api.aidress.ai;api.exa.ai,3,6060,41.02
0x52ab53912d37759b2ad364f22dd06b16714b6c06,aero.lonestaroracle.xyz;agri.lonestaroracle.xyz;analyst.lonestaroracle.xyz;api.aidress.ai;asia.lonestaroracle.xyz;bundle.lonestaroracle.xyz;capitol.lonestaroracle.xyz;cascade.lonestaroracle.xyz;chains,74,566,36.5
0x6cab485fc28ec70d3845113b704d4824e4d2b24f,x402.miroshark.xyz,1,35,35.0
0xd593832ce9c2b13b192ba50b55dd9af44e96700d,api.myceliasignal.com,112,1012,32.24
0x8ecbd65228930060363c70854da7d37d57ffc358,vps.phoneagent.xyz,2,6,32.02
0x5e709929a4ab69ec3a8811d03417869059bc4eb9,api.craigmbrown.com,30,171,31.52
0x8aab9a6d28e9aba2a15a613c90f24f352f0cce15,vape-x402.vapex402.workers.dev,18,1337,30.49
0x0e84ddedaae6a779c462c22a59f301ec31b6b808,api.aidress.ai;x402.ottoai.services,71,6713,29.32
0x7c655d3d3944bd27994dd81a036c3afb19806c40,vaaya.ai,54,803,29.22
0x3c5cbe28eca3b96023c45d3f877da834f1c7d5fa,alphavantage.x402.paywithlocus.com;anthropic.x402.stage.paywithlocus.com;apollo.x402.paywithlocus.com;billboard.x402.paywithlocus.com;builtwith.x402.paywithlocus.com;clado.x402.paywithlocus.com;deepgr,42,1005,29.19
0x87f929c4ecac1556a507ce6b92ef95c52b28dba4,launchcheck-x402.fly.dev,3,26,29.0
0x25a8b697da5c0baf698fd6bd9701b5e825214145,whaletape.xyz,28,253,27.0
0x8755a2faf86c9e3758450d703f8bbcada343c62e,api.molty.cash,1,26,26.0
0x2a90d68071b16ba7ab236709d4e37a54f56fea3b,agents.actionlayer.io;deepai.pay.zeroclick.io,7,104,24.23
0x973a31858f4d2125f48c880542da11a2796f12d6,402.com.tr,143,327,23.6
0xdc9f94a8b93f070b58cfa580cbe740d763005fe6,stockwaves.net,6,745,23.47
0xfdb4b511f6ae1f270776e500b3360217d5e7ed03,agents.x402stock.xyz,138,789,23.1
