payer_address,n_settlements,n_direct_settlements,n_distinct_direct_recipients,n_distinct_facilitators_used,n_distinct_targets_any,total_value_usdc,mean_value_usdc,stdev_value_usdc,cv_value,first_seen_utc,last_seen_utc,lifetime_seconds,median_inter_tx_seconds,min_inter_tx_seconds,diurnal_entropy_normalized,burst_frac_under_60s
0x414d5b8a53f14c70e6005c29add25ca967479f77,4,4,1,4,1,0.4,0.1,0.0,0.0,2026-01-09T22:19:31+00:00,2026-01-09T22:19:37+00:00,6.0,2.0,0.0,,1.0
0xe0ee93fdb0389ec2b4aea85d4c16e1bf1685dc00,8,8,1,7,1,0.8,0.1,0.0,0.0,2026-01-09T22:18:55+00:00,2026-01-09T22:19:11+00:00,16.0,2.0,0.0,0.0,1.0
0x6d46c65667687ddb776733832d1233c2ba1a6659,20,20,1,9,1,0.141,0.00705,0.004477,0.6351,2026-01-09T22:13:37+00:00,2026-01-09T22:19:59+00:00,382.0,16.0,4.0,0.0,0.947
0x38c57516207c18c3458fbae118b80d3a7f1780c7,11,11,1,7,1,1.1,0.1,0.0,0.0,2026-01-09T22:18:07+00:00,2026-01-09T22:18:19+00:00,12.0,0.0,0.0,0.0,1.0
0xcd3770a618b2253c79a83d1dad095d56396a8e22,5,5,1,4,1,0.5,0.1,0.0,0.0,2026-01-09T22:17:57+00:00,2026-01-09T22:18:03+00:00,6.0,1.0,0.0,0.0,1.0
0x2f5134f7cb98af03099fa682555ca1dd70d7d688,15,14,4,7,4,0.48,0.032,0.034293,1.0717,2026-01-05T20:38:27+00:00,2026-01-10T07:18:31+00:00,384004.0,2172.0,2.0,0.539,0.357
0xd5290e4f48ac9d40cf5324581c22647629463377,23,23,1,9,1,0.159,0.006913,0.004462,0.6454,2026-01-09T22:13:33+00:00,2026-01-09T22:19:49+00:00,376.0,16.0,4.0,0.0,1.0
0x379037b775453177696167980187e75865596e6c,7,7,1,7,1,0.7,0.1,0.0,0.0,2026-01-09T22:17:23+00:00,2026-01-09T22:17:35+00:00,12.0,2.0,0.0,0.0,1.0
0xf46dea2cac8aff90867fcd08c753e716ce85de2a,27,27,1,8,1,0.027,0.001,0.0,0.0,2026-01-09T22:12:03+00:00,2026-01-09T22:19:33+00:00,450.0,12.0,0.0,0.0,0.923
0x6c6fc404993d6e7b56b69d86a527a623519813e1,8,8,1,6,1,0.8,0.1,0.0,0.0,2026-01-09T22:17:11+00:00,2026-01-09T22:17:19+00:00,8.0,0.0,0.0,0.0,1.0
0xf350096a9cc58c362192e3adf89651ef49858984,7,7,1,4,1,0.7,0.1,0.0,0.0,2026-01-09T22:16:41+00:00,2026-01-09T22:16:49+00:00,8.0,2.0,0.0,0.0,1.0
0x668934757f97ff367cd2f1f74c4beb8253f158b2,13,13,1,8,1,1.3,0.1,0.0,0.0,2026-01-09T22:16:17+00:00,2026-01-09T22:16:21+00:00,4.0,0.0,0.0,0.0,1.0
0x2fcab5a4abdbe88a0fe10af5d25392f6f4b41923,11,11,1,5,1,1.1,0.1,0.0,0.0,2026-01-09T22:16:07+00:00,2026-01-09T22:16:15+00:00,8.0,0.0,0.0,0.0,1.0
0x28d2a6eb7439bf043c732a47e569898ff669ef4e,6,6,1,4,1,0.6,0.1,0.0,0.0,2026-01-09T22:15:39+00:00,2026-01-09T22:15:43+00:00,4.0,0.0,0.0,0.0,1.0
0x37658ecc8f04ef0ae44fd4da9d43ace3a337563b,7,7,1,7,1,0.7,0.1,0.0,0.0,2026-01-09T22:15:17+00:00,2026-01-09T22:15:23+00:00,6.0,1.0,0.0,0.0,1.0
0x4fd921e9ea3cd0745bf7712c70aff7f93a51c3d4,8,8,1,6,1,0.8,0.1,0.0,0.0,2026-01-09T22:15:07+00:00,2026-01-09T22:15:15+00:00,8.0,0.0,0.0,0.0,1.0
0x0ff158d37bd1ffc7c21633cf30c7f301fc4318b5,24,24,1,9,1,0.117,0.004875,0.003655,0.7498,2026-01-09T22:13:29+00:00,2026-01-09T22:19:05+00:00,336.0,10.0,4.0,0.0,0.957
0x21b8c9ee87b7e524332a21b2086e9e1f68080a6f,11,11,1,8,1,1.1,0.1,0.0,0.0,2026-01-09T22:14:25+00:00,2026-01-09T22:14:33+00:00,8.0,0.0,0.0,0.0,1.0
0xcf9b661aadc42c7a53e1169eb9f06d8420768918,3,3,1,3,1,0.3,0.1,0.0,0.0,2026-01-09T22:14:05+00:00,2026-01-09T22:14:13+00:00,8.0,4.0,4.0,,1.0
0xcdc67b0bdefe3fdb6538ef47d1abb96abb754929,4,4,1,4,1,0.4,0.1,0.0,0.0,2026-01-09T22:13:57+00:00,2026-01-09T22:14:01+00:00,4.0,2.0,0.0,,1.0
0x295502e3da2165f3ec6284dfb67466b6dfdca10b,11,11,1,9,1,1.1,0.1,0.0,0.0,2026-01-09T22:13:45+00:00,2026-01-09T22:13:53+00:00,8.0,0.0,0.0,0.0,1.0
0xafb6919d68818529753a4995b6f6694e6b975a52,11,11,1,9,1,1.1,0.1,0.0,0.0,2026-01-09T22:13:35+00:00,2026-01-09T22:13:41+00:00,6.0,0.0,0.0,0.0,1.0
0x5169ecc413a7e976e862208cf8ef3ab3d1c5b16f,3,3,1,3,1,0.3,0.1,0.0,0.0,2026-01-09T22:13:27+00:00,2026-01-09T22:13:31+00:00,4.0,2.0,0.0,,1.0
0xb6f8410f471d45f82652ed5751ba68d695b9a4bd,5,5,1,5,1,0.5,0.1,0.0,0.0,2026-01-09T22:13:17+00:00,2026-01-09T22:13:21+00:00,4.0,1.0,0.0,0.0,1.0
0xcb72487a328755b2531dd4922eee0025341377b8,7,7,1,5,1,0.7,0.1,0.0,0.0,2026-01-09T22:13:05+00:00,2026-01-09T22:13:11+00:00,6.0,1.0,0.0,0.0,1.0
0x4491549f14ac509528912ccb34001f5b9f78bc68,8,8,1,5,1,0.8,0.1,0.0,0.0,2026-01-09T22:12:35+00:00,2026-01-09T22:12:39+00:00,4.0,0.0,0.0,0.0,1.0
0xdd91a1e5da4c9dad16de1726e979eb7152ae1cb1,11,11,1,7,1,1.1,0.1,0.0,0.0,2026-01-09T22:12:27+00:00,2026-01-09T22:12:33+00:00,6.0,0.0,0.0,0.0,1.0
0xcbae9665f2f388477f200a169dbbede56f4b5f1c,1,1,1,1,1,0.5,0.5,0,0.0,2026-01-09T22:12:31+00:00,2026-01-09T22:12:31+00:00,0,,,,
0x3dcbbf4793035956b9f0d04aff8f96badf587cd2,8,8,1,7,1,0.8,0.1,0.0,0.0,2026-01-09T22:12:15+00:00,2026-01-09T22:12:25+00:00,10.0,2.0,0.0,0.0,1.0
0xd956b9a3ae559ae1cd0cff02ec2e881e86e57689,6,6,1,5,1,0.6,0.1,0.0,0.0,2026-01-09T22:12:05+00:00,2026-01-09T22:12:11+00:00,6.0,2.0,0.0,0.0,1.0
