payer_address,funder_address,funder_resolved_to_genesis,funder_onchain_tags
0x9d3d9410be95fa1d230734b961997427fc61d837,,False,
0x6909c628167075208e7975c1668522ee629dc0ac,0x3304e22ddaa22bcdc5fca2269b418046ae7b566a,True,
0x66ed5bda1cf05dc593be8a81fad8f046723dd580,,False,
0x467f98f222f3db1fd738f2a08bd103f8d380a4c1,0x85b43d9f1bf53eeba2701fa4f26224a5c9e8627c,True,
0x3d591f9a73b737bb23f57d7839247e52eeef14f0,,False,
0xca0aa070354ebbb91ee2c29c69e299a496652d7a,0x85b43d9f1bf53eeba2701fa4f26224a5c9e8627c,True,
0x2e45217c1e015d03c9551fdac86270f5e1b57bb5,,False,
0x857fe6150401bfb4641fe0d2b2621cc3b05543cd,0xb95e5cd6e19dce8043904531b8bd9c90f09c4567,False,
0xe62923133a417cee4241677865ed5a63f44f4b54,0xbb70839d17f4efcb970b7eac626b4eb56e9d6510,True,
0x9cc42f3d9245b867acccd630b43f906c1665b176,0x30ed6bcd6aae504c55e4706ef7988300a405e985,True,
0xfa3f54ae9c4287ca09a486dfaface7d1d4095d93,0xfa3f54ae9c4287ca09a486dfaface7d1d4095d93,True,
0x952033ca2fc33ac5e018dbffa581a16f56c0556a,,False,
0x5982fe5006a9500eefdcc49befab2c7bf91a8a1f,0xbaed383ede0e5d9d72430661f3285daa77e9439f,True,
0xdd138e963e5f381ee525aec30da47e2904a45f62,0x86ec69f12ba2f8e0533273ad5051fb69a38ac3ac,True,
0x0e4ac574748fd5918a04b7cb08b807cce6d54811,0xbaed383ede0e5d9d72430661f3285daa77e9439f,True,
0x03a0d07fe730909489da897542b9beb38f4117dc,0xaa23729c4ba0857eccd4c3db549ed55f1a94ec24,True,
0x4f568bf0ce8537cbe7a0daf1a43c955e0a648db9,,False,
0x7e571e959cc7c75ccdd2eac24f8775ea2eaa2f09,0x739120ade7ed878fca5bbdb806263a8258fe2360,True,
0x26554a65f01ac0d14c773c7091eaed07669ec7e9,,False,
0x07fbca218b0a0a35244e0025a036fa85a6dc97dc,0x1985ea6e9c68e1c272d8209f3b478ac2fdb25c87,True,
0xd632447e9dfe7b87a570a42b752d2f374076f9b3,0xf5b5c564f2e03eb822485abeed4d09037dee3e4d,True,
0x35389906236ca97d608b8ec01dcae6bff2a3cfd1,,False,
0x90ee1ebccfa2021711c595e1410e22401570b4ac,0x7489dd3ba04ff8f04aa3afd088457f35c9b444ed,True,
0x4e1f352aad1599c69acd6d49e495343d83c8f6af,0xb2f1c3beb9c4c4bb7fe8e55a9751603c2a3c0e54,True,
