recipient_address,total_usdc_volume,settlement_count,is_contract,category,label_source,confidence
0x21dd37e3e4ea6ccc0a5c98a4944702ede6e7be10,1175.004279,209,False,unknown,none,low
0x517fa696527ce322bd36b10a6afca26f64db30e6,273.102124,7,False,unknown,none,low
0x85b47b40455ab2bd7921f76dce841b48c82d627c,236.58982,2200,False,unknown,none,low
0x5bdcd6bf6c6418aaef38de4f4eafb3c9269acf05,227.69,2,False,unknown,none,low
0x05262188bc274c84d848838f5f8193bbfb83cd6d,223.716252,6,False,unknown,none,low
0x85421f87dbe5adacf4ed800d01700e602524c18d,200.0,1,False,unknown,none,low
0x13d2ae14aa98353af95a187699189f5b53467438,195.995012,5,False,unknown,none,low
0x1450d5868eff502ecbed9cedc5dc39512cc88448,160.350499,6,False,unknown,none,low
0xd9ae33ba589f3c3fb83bb097ee030526eb2eb522,153.922453,3,True,unknown,none,low
0x59e9dde023cb534d68654020711c87c41760c111,125.0,17,False,unknown,none,low
0xaeac266a4533cb0b4255ea2922f997353a18b2e8,125.0,18,False,unknown,none,low
0x406dd57c80874a9da6c66db3b660173d5a454f0a,112.417236,3,False,unknown,none,low
0x8979564ab4672ae08a65ca04df1a772eb7a7b274,102.945483,2,False,unknown,none,low
0x7f14fbc1c931905863afec5ccc0be6ddb6697820,100.97,2,False,unknown,none,low
0x59ec9109a39a0610b1c5ec014feaccb3355dfbee,80.571,3,False,unknown,none,low
0xc5b9df24d047b6c10d18debb6ad2c80e6679ec0a,80.175597,3,False,unknown,none,low
0x573f4f43bb6b3284df438d46432247fb45912ab6,70.285,1,False,unknown,none,low
0x0ee93b69df40c2486d67287c401aac66b2543ef0,70.281009,2,False,unknown,none,low
0xe752304f4ef9d2467144b3690696143b4fef2e12,70.280234,2,False,unknown,none,low
0x7827db6188826f33da7c234ff75916eadca00a0f,70.0,14,False,unknown,none,low
0xaa555c845f463137a364385243dc8d6ace3bbb05,64.993237,1,False,unknown,none,low
0xa5b387053acf8c6a7ccfb4b2110a1fe3f8080ac3,58.691092,1,False,unknown,none,low
0x08042a5f99ad850e5599e6de505ed881cf368604,57.41,2,False,unknown,none,low
0xef4364fe4487353df46eb7c811d4fac78b856c7f,56.424,1837,True,unknown,none,low
0xe83a486ad8581ba5bc4c997fa7c74237be8c2eb7,56.368716,2,False,unknown,none,low
0x0a34f4bf3a77cc8a45e75c53f5b539aa7e2d7fae,56.024157,2,True,unknown,none,low
0x8b5824b6cc2ba0e05747cc5a2c7ac9322fffa912,52.57764,1,False,unknown,none,low
0xe3b967b32a4f110b2b14cc1dd4bdae1c2150a2f0,52.461272,1,False,unknown,none,low
0x7399c9c52e807abc9c3a1897c432018629900999,52.459084,1,False,unknown,none,low
0xa112c9c8bf655c678c768b6fd42a1c6fbfed7d60,51.806935,4862,False,unknown,none,low
0x3cced3910a0843a4d94134b237e70e6595ed92d7,50.485388,1,True,unknown,none,low
0x2c6e3d8727a8089cc101707012c179ae639eb1bd,50.485,1,False,unknown,none,low
0x53efb5df1ea014d38a355fd60cb221e7ffd540fa,50.485,1,False,unknown,none,low
0xf5862d386d8ede0fc0e1842a76c487ab84b0be78,50.485,1,False,unknown,none,low
0xe5fb8378c1e3ba2d9375653f80b62ff709bfd14d,50.0,3,False,unknown,none,low
0xf4f5bf139847638cf432fc13f9e08ac6387b917d,49.495,1,False,unknown,none,low
0xb542525d892696c8731a70e87e628bedd34efb7a,48.708051,1,False,unknown,none,low
0xb64b706347e67c4614413c01d6e0eeed30a2bfcb,47.645293,1,False,unknown,none,low
0x4944c8ec15e70bb6ccc452b819053a440bcc4bf3,40.939532,233,False,unknown,none,low
0x77b121e9556c6cbe103cd38851f7bbbbfbe48190,40.0,2,False,unknown,none,low
0xffd6daa030c7995770d49147559a222a25487273,40.0,2,False,unknown,none,low
0xa6988a4360e2c50060eb2253706fabb5da3a4378,39.884346,3,False,unknown,none,low
0x27599d824bbb4f506f985af865d840f61ba848c8,37.6,376,False,unknown,none,low
0x7070fb8fa03ffff0de110e260260672348af057e,33.246291,4,False,unknown,none,low
0x6a0a10ffd285c971b841bee8892878c0d583bf67,31.469809,26,False,unknown,none,low
0xa86b723ae668c3190e99a0acb36543cd4a9b6441,30.883099,2,True,unknown,none,low
